Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To
50	Trans-Dark Pink	CE1d9b	Transparent	242	767	658	252	1999	2023
20	Trans-Green	217625	Transparent	140	1516	653	197	1969	2023
15	Trans-Light Blue	68BCC5	Transparent	849	3088	1877	983	1985	2023
226	Trans-Light Bright Green	71EB54	Transparent	26	17	199	52	2003	2006
221	Trans-Light Green	94E5AB	Transparent	10	5	218	21	2005	2006
164	Trans-Light Orange	E99A3A	Transparent	42	22	394	89	2003	2006
114	Trans-Light Purple	B97AB1	Transparent	20	20	248	28	2005	2006
74	Trans-Medium Blue	76A3C8	Transparent	98	204	981	151	2001	2018
234	Trans-Medium Purple	9C41B6	Transparent	37	35	145	42	2003	2006
16	Trans-Neon Green	C0F500	Transparent	237	1141	788	296	1990	2023
18	Trans-Neon Orange	FF4231	Transparent	247	1040	849	329	1993	2023
121	Trans-Neon Yellow	FFD700	Transparent	28	37	449	71	2001	2006
98	Trans-Orange	E96F01	Transparent	226	2157	771	299	2003	2023
107	Trans-Pink	FF8298	Transparent	68	44	294	87	2003	2006
51	Trans-Purple	5525B7	Transparent	143	407	566	169	2000	2023
17	Trans-Red	9C0010	Transparent	236	3852	1158	305	1969	2023
19	Trans-Yellow	EBF72D	Transparent	228	2611	937	293	1969	2023
57	Chrome Antique Brass	645a4c	Chrome	3	17	457	3	2001	2005
122	Chrome Black	544E4F	Chrome	11	1	1052	11	2009	2009
52	Chrome Blue	5C66A4	Chrome	5	14	355	11	1998	2006
21	Chrome Gold	f1f2e1	Chrome	51	291	1570	55	1989	2023
64	Chrome Green	3CB371	Chrome	1	2	324	6	1999	1999
82	Chrome Pink	aa4d8e	Chrome	1	10	269	7	2001	2007
22	Chrome Silver	DCDCDC	Chrome	104	561	2105	173	1966	2023
237	Bionicle Copper	985750	Pearl	2	1	92	2	2001	2001
238	Bionicle Gold	B9752F	Pearl	6	3	151	7	2002	2002
239	Bionicle Silver	A59287	Pearl	6	3	285	7	2002	2002
84	Copper	AC6D52	Pearl	11	23	803	53	2004	2008
81	Flat Dark Gold	AD7118	Pearl	50	47	818	152	2002	2006
95	Flat Silver	8D949C	Pearl	827	2842	2854	1119	2008	2023
244	Pearl Black	282725	Pearl	4	8	846	8	2003	2006
254	Pearl Blue	3977C7	Pearl	4	8	6	4	2003	2009
255	Pearl Brown	815542	Pearl	3	6	5	3	2003	2006
77	Pearl Dark Gray	666660	Pearl	755	1211	2691	849	2000	2023
115	Pearl Gold	E79E1D	Pearl	1135	2503	2720	1237	2004	2023
253	Pearl Green	13A452	Pearl	3	6	5	3	2003	2006
61	Pearl Light Gold	E7AE5A	Pearl	13	7	498	64	2000	2005
66	Pearl Light Gray	ACB7C0	Pearl	502	765	1566	630	1993	2011
252	Pearl Red	E54952	Pearl	3	6	33	3	2003	2006
78	Pearl Sand Blue	868FAA	Pearl	44	23	381	47	2002	2005
243	Pearl Sand Purple	B5A1BA	Pearl			22			
119	Pearl Very Light Gray	D4D2CD	Pearl	21	16	465	45	2002	2004
83	Pearl White	FFFFFF	Pearl	3	6	430	16	2003	2006
249	Reddish Copper	D06926	Pearl	21	20	50	24	2017	2020
235	Reddish Gold	E7891B	Pearl	28	28	177	28	2003	2005
233	Satin Trans-Bright Green	7fe15b	Satin	6	7	113	6	2021	2023
229	Satin Trans-Brown	939484	Satin	7	12	124	7	2020	2023
228	Satin Trans-Clear	FFFFFF	Satin	17	57	189	20	2020	2023
232	Satin Trans-Dark Blue	1552e2	Satin	10	22	135	13	2021	2023
224	Satin Trans-Dark Pink	CE1d9b	Satin	12	25	113	12	2020	2023
223	Satin Trans-Light Blue	68BCC5	Satin	45	81	197	49	2020	2023
230	Satin Trans-Purple	8320B7	Satin	17	15	130	17	2020	2023
250	Metallic Copper	C58259	Metallic	6	14	184	9	2007	2012
65	Metallic Gold	B8860B	Metallic	109	308	1244	192	1997	2023
70	Metallic Green	bdb573	Metallic	31	9	431	37	2001	2003
67	Metallic Silver	C0C0C0	Metallic	206	731	2198	279	1957	2023
46	Glow In Dark Opaque	d4d5c9	Milky	55	88	523	107	1990	2011
118	Glow In Dark Trans	bdc6ad	Milky	16	22	332	18	2005	2011
159	Glow In Dark White	d9d9d9	Milky	80	94	756	93	2011	2023
60	Milky White	d4d3dd	Milky	26	144	540	56	1963	2008
101	Glitter Trans-Clear	b2adaa	Glitter	17	34	179	22	1999	2023
100	Glitter Trans-Dark Pink	CE1d9b	Glitter	12	39	155	16	1999	2022
162	Glitter Trans-Light Blue	68BCC5	Glitter	16	26	168	22	2015	2023
163	Glitter Trans-Neon Green	C0F500	Glitter	1	8	143	1	2015	2018
222	Glitter Trans-Orange	D04010	Glitter	1	1	121	1	2020	2020
102	Glitter Trans-Purple	3A2B82	Glitter	10	57	173	13	2000	2023
116	Speckle Black-Copper	5F4E47	Speckle	5	3	173	5	2006	2006
151	Speckle Black-Gold	AB9421	Speckle	2	4	218	6	2010	2011
111	Speckle Black-Silver	7C7E7C	Speckle	15	49	297	19	2005	2013
117	Speckle DBGray-Silver	4A6363	Speckle	5	7	238	8	2006	2006
142	Mx Aqua Green	27867E	Modulex			27	12		
128	Mx Black	000000	Modulex			304	237		
132	Mx Brown	907450	Modulex			34	28		
133	Mx Buff	DEC69C	Modulex			37	33		
126	Mx Charcoal Gray	595D60	Modulex			15	10		
149	Mx Clear	FFFFFF	Modulex			53	36		
214	Mx Foil Dark Blue	0057A6	Modulex			3	1		
210	Mx Foil Dark Gray	595D60	Modulex			3	1		
212	Mx Foil Dark Green	006400	Modulex			2	1		
215	Mx Foil Light Blue	68AECE	Modulex			2	1		
211	Mx Foil Light Gray	9C9C9C	Modulex			4			
213	Mx Foil Light Green	7DB538	Modulex			3	1		
219	Mx Foil Orange	F7AD63	Modulex			3	1		
217	Mx Foil Red	8B0000	Modulex			3	1		
216	Mx Foil Violet	4B0082	Modulex			2			
218	Mx Foil Yellow	FED557	Modulex			2			
139	Mx Lemon	BDC618	Modulex			16	23		
124	Mx Light Bluish Gray	AfB5C7	Modulex			25	4		
125	Mx Light Gray	9C9C9C	Modulex			60	58		
136	Mx Light Orange	F7AD63	Modulex			15	8		
137	Mx Light Yellow	FFE371	Modulex			19	15		
144	Mx Medium Blue	61AFFF	Modulex			20	10		
138	Mx Ochre Yellow	FED557	Modulex			18	17		
140	Mx Olive Green	7C9051	Modulex			20	22		
135	Mx Orange	F47B30	Modulex			19	26		
145	Mx Pastel Blue	68AECE	Modulex			24	23		
141	Mx Pastel Green	7DB538	Modulex			27	29		
148	Mx Pink	F785B1	Modulex			13	21		
130	Mx Pink Red	F45C40	Modulex			16	8		
129	Mx Red	B52C20	Modulex			24	32		
146	Mx Teal Blue	467083	Modulex			15	12		
134	Mx Terracotta	5C5030	Modulex			25	30		
143	Mx Tile Blue	0057A6	Modulex			86	55		
131	Mx Tile Brown	330000	Modulex			216	1		
127	Mx Tile Gray	6B5A5A	Modulex			229	2		
147	Mx Violet	BD7D85	Modulex			21	10		
123	Mx White	FFFFFF	Modulex			621	495		
